id,sepal_length,sepal_width,petal_length,petal_width,label,split
1,5.1,3.5,1.4,0.2,setosa,train
2,4.9,3.0,1.4,0.2,setosa,train
3,5.0,3.4,1.5,0.2,setosa,train
4,5.4,3.9,1.7,0.4,setosa,train
5,4.6,3.2,1.4,0.2,setosa,test
6,5.8,4.0,1.2,0.2,setosa,test
7,7.0,3.2,4.7,1.4,versicolor,train
8,6.4,3.2,4.5,1.5,versicolor,train
9,6.9,3.1,4.9,1.5,versicolor,train
10,5.5,2.3,4.0,1.3,versicolor,train
11,6.5,2.8,4.6,1.5,versicolor,test
12,5.7,2.8,4.5,1.3,versicolor,test
13,6.3,3.3,6.0,2.5,virginica,train
14,5.8,2.7,5.1,1.9,virginica,train
15,7.1,3.0,5.9,2.1,virginica,train
16,6.5,3.0,5.8,2.2,virginica,train
17,6.7,3.1,5.6,2.4,virginica,test
18,6.2,3.4,5.4,2.3,virginica,test
