transaction_id,timestamp,user_id,card_id,amount,merchant_country,user_country,merchant_category,hour,is_fraud
n001,2026-08-01T08:06:00Z,u01,c01,14.25,US,US,grocery,8,0
n002,2026-08-01T09:14:00Z,u02,c02,62.10,US,US,restaurant,9,0
n003,2026-08-01T10:28:00Z,u03,c03,188.90,US,US,electronics,10,0
n004,2026-08-01T11:01:00Z,u04,c04,27.40,US,US,transport,11,0
n005,2026-08-01T12:12:00Z,u05,c05,156.00,US,US,travel,12,0
n006,2026-08-01T13:05:00Z,u06,c06,520.00,US,US,travel,13,0
n007,2026-08-01T13:20:00Z,u06,c06,535.00,US,US,travel,13,0
n008,2026-08-01T13:36:00Z,u06,c06,560.00,US,US,travel,13,1
n009,2026-08-01T14:44:00Z,u07,c07,39.50,US,US,grocery,14,0
n010,2026-08-01T23:58:00Z,u16,c16,1180.00,RO,US,crypto,23,1
n011,2026-08-02T00:12:00Z,u17,c17,950.00,NG,US,gift_card,0,1
n012,2026-08-02T01:41:00Z,u18,c18,280.00,US,US,gambling,1,1
n013,2026-08-02T02:03:00Z,u19,c19,760.00,BR,US,electronics,2,1
n014,2026-08-02T03:25:00Z,u20,c20,85.00,US,US,digital,3,0
n015,2026-08-02T18:21:00Z,u21,c21,34.70,CA,CA,grocery,18,0
n016,2026-08-02T20:10:00Z,u22,c22,1410.00,US,US,luxury,20,1
