transaction_id,timestamp,user_id,card_id,amount,merchant_country,user_country,merchant_category,hour,is_fraud
t001,2026-07-01T08:12:00Z,u01,c01,12.40,US,US,grocery,8,0
t002,2026-07-01T09:22:00Z,u02,c02,44.90,US,US,restaurant,9,0
t003,2026-07-01T10:05:00Z,u03,c03,86.20,US,US,electronics,10,0
t004,2026-07-01T12:44:00Z,u04,c04,23.10,US,US,transport,12,0
t005,2026-07-01T13:03:00Z,u05,c05,134.75,US,US,travel,13,0
t006,2026-07-01T14:48:00Z,u01,c01,18.20,US,US,restaurant,14,0
t007,2026-07-01T16:31:00Z,u02,c02,210.00,US,US,electronics,16,0
t008,2026-07-01T18:02:00Z,u03,c03,9.99,US,US,digital,18,0
t009,2026-07-01T20:20:00Z,u06,c06,510.50,US,US,travel,20,0
t010,2026-07-02T07:19:00Z,u07,c07,31.30,US,US,grocery,7,0
t011,2026-07-02T11:10:00Z,u08,c08,74.60,US,US,restaurant,11,0
t012,2026-07-02T15:43:00Z,u09,c09,295.15,US,US,electronics,15,0
t013,2026-07-02T19:21:00Z,u10,c10,56.00,CA,CA,grocery,19,0
t014,2026-07-03T01:11:00Z,u11,c11,620.00,US,US,gambling,1,1
t015,2026-07-03T02:03:00Z,u12,c12,980.30,NG,US,gift_card,2,1
t016,2026-07-03T03:17:00Z,u13,c13,1210.00,RO,US,crypto,3,1
t017,2026-07-03T22:40:00Z,u14,c14,710.45,US,US,gift_card,22,1
t018,2026-07-03T23:54:00Z,u15,c15,430.00,BR,US,electronics,23,1
