date,temperature_c,humidity_pct,demand_kwh
2026-01-01,7.2,68,142
2026-01-02,6.8,70,146
2026-01-03,5.9,74,151
2026-01-04,5.6,76,154
2026-01-05,6.4,72,148
2026-01-06,7.8,66,139
2026-01-07,8.1,64,136
2026-01-08,7.0,69,145
2026-01-09,6.6,71,149
2026-01-10,5.7,75,155
2026-01-11,5.3,77,158
2026-01-12,6.2,73,152
2026-01-13,7.5,67,143
2026-01-14,8.4,63,139
2026-01-15,7.1,68,148
2026-01-16,6.4,72,153
2026-01-17,5.5,76,159
2026-01-18,5.1,78,162
2026-01-19,6.1,74,156
2026-01-20,7.2,68,147
2026-01-21,8.0,65,143
2026-01-22,6.9,69,151
2026-01-23,6.2,73,156
2026-01-24,5.4,77,163
2026-01-25,5.0,79,166
2026-01-26,6.0,75,160
2026-01-27,7.0,69,151
2026-01-28,7.9,66,147
